# ====== 系统级参数配置 ======
# 格式: CSV (逗号分隔) + header 行
# 用于: 渲染参数 / 战斗公式微调 / 调试开关
# 修改后: node scripts/csv2json.cjs 重新生成 src/data/system.json
#         index.html 调整 data.js _dataVersion
#
# ====== 列说明 ======
# key:    参数唯一标识 (英文," 程序内部用)"
# value:  数值或字符串值 (运行时按 valueType 解析)
# valueType: number | string | boolean
# desc:   中文说明
# group:  分组 (orbit | combat | render | debug)
#
# ====== 武器轨道参数 ======
# weaponOrbitDistance: 武器图标中心到角色中心的像素距离(默认 128)
# weaponOrbitExtraPerSlot: 每多 1 个 slot 额外外推的像素(默认 6)
levelUpDefaultCardCount,4,number,默认升级卡牌数量,levelUp
levelUpDefaultWeaponSlots,4,number,默认武器槽数(升级前),levelUp

# ====== 角色/玩家默认值 (player defaults) ======
playerBaseMaxHp,100,number,玩家基础最大生命,playerDefaults
playerBaseSpeed,100,number,玩家基础速度(像素/秒,applyToPlayer会覆盖),playerDefaults
playerBaseDamage,15,number,玩家基础伤害,playerDefaults
playerBaseAttackSpeed,1.0,number,玩家基础攻击速度,playerDefaults
playerBaseCritChance,0.05,number,玩家基础暴击率,playerDefaults
playerBaseCritDamage,2.0,number,玩家基础暴击伤害,playerDefaults
playerBasePickupRange,15,number,玩家基础拾取范围,playerDefaults
playerBaseHpRegen,0.5,number,玩家基础生命回复,playerDefaults
playerBaseBulletSpeed,500,number,玩家基础子弹速度,playerDefaults
playerBaseRadius,18,number,玩家碰撞半径,playerDefaults
playerBaseBulletCount,1,number,玩家基础子弹数量,playerDefaults
playerBaseWeaponSlots,6,number,玩家默认武器槽数,playerDefaults
playerBaseInvincibleDuration,0.5,number,受伤无敌时间(秒),playerDefaults
playerBaseArmor,0,number,玩家基础护甲,playerDefaults
playerBaseDodge,0,number,玩家基础闪避,playerDefaults
playerBaseLuck,0,number,玩家基础幸运,playerDefaults
playerBaseHarvesting,0,number,玩家基础采集,playerDefaults

# ====== Boss 默认值 (boss defaults) ======
bossBaseHp,1500,number,Boss基础生命,playerDefaults
bossBaseDamage,25,number,Boss基础伤害,playerDefaults
bossBaseSpeed,40,number,Boss基础速度,playerDefaults
